member,下載,type,text,規格書
PIA0023,已下載,RPG,產生新月份  INTAPF INTBPF,
PIA0061,已下載,RPG,盤點資料產生 - SCREEN CHECK,
PIA0062,已下載,RPG,盤點資料產生 - 主程式,
PIA0071,已下載,RPG,盤點資料上傳 - SCREEN CHECK & 主程式,
PIA009,已下載,RPG,12/25 庫存量 - SCREEN CHECK,
PIA0091,已下載,RPG,12/25 庫存量 - 系統數量、盤點量、未稅成本,
PIA00921,已下載,RPG,12/25 庫存量 - 驗收單明細表工作檔 FROM INTXTM,
PIA00922,已下載,RPG,12/25 庫存量 - 驗收數量,
PIA0093,已下載,RPG,12/25 庫存量 - 通路銷售數量,
PIA0094,已下載,RPG,12/25 庫存量 - 系統異動調整 ( 調撥數量 ),
PIA0095,已下載,RPG,12/25 庫存量 - 系統異動調整 ( 預購數量 ),
PIA0096,已下載,RPG,12/25 實際庫存量,
PIA101,已下載,RPG,每月盤點結案,
PII101,已下載,RPG,每月盤點歷史查詢,
PIR0011,已下載,RPG,盤盈虧報表 - SCREEN CHECK                   A1492,
PIR0012,已下載,RPG,盤盈虧報表 - PRINT REPORTS                  A1492,
PIR0013,已下載,RPG,盤盈虧報表 -  彙總 PRINT REPORTS            A1650,
PIR1011,已下載,RPG,每月盤盈虧報表 - SCREEN CHECK,
PIR1012,已下載,RPG,每月盤盈虧報表 - PRINT REPORTS,
PUC0011,已下載,RPG,全產品年度基本報價複製                      A1491,
PUC0012,已下載,RPG,全產品年度基本報價複製                      A1491,
PUC002,已下載,RPG,供應商產品報價維護                          A1491,
PUC003,已下載,RPG,供應商產品報價單核准                        A1491,
PUC004,已下載,RPG,供應商產品報價查詢                          A1491,
PUC0111,已下載,RPG,前台訂貨單批次處理                          A1491,
PUC0112,已下載,RPG,前台訂貨單批次處理                          A1491,
PUC012,已下載,RPG,訂貨單維護                                  A1491,
PUC013,已下載,RPG,訂貨單審核                                  A1491,
PUC014,已下載,RPG,訂貨單核準                                  A1491,
PUC015,已下載,RPG,訂貨單查詢                                  A1491,
PUC016,已下載,RPG,訂貨單取消核準                              A1491,
PUC0211,已下載,RPG,採購批次處理                                A1491,
PUC0212,已下載,RPG,採購批次處理                                A1491,
PUC0213,已下載,RPG,採購批次處理                                A1491,
PUC022,已下載,RPG,採購單查詢                                  A1491,
PUC023,已下載,RPG,應到貨箱數表寄出作業                        A1491,
PUC024,已下載,RPG,採購表單寄出處理                            A1546,
PUC025,已下載,RPG,採購單寄出作業                              A1492,
PUC026,已下載,RPG,採購單查詢 - 採購單號                       A1491,
PUC031,已下載,RPG,驗收單維護                                  A1491,
PUC032,已下載,RPG,異常驗收單維護                              A1491,
PUC033,已下載,RPG,補增驗收單維護                              A1491,
PUC034,已下載,RPG,貨運實際箱數維護                            A1491,
PUC035,已下載,RPG,未完成驗收單號查詢                          A1491,
PUC036,已下載,RPG,驗收單歷史查詢                              A1491,
PUC0411,已下載,RPG,運費月結處理                                A1491,
PUC0412,已下載,RPG,運費月結處理                                A1491,
PUC0413,已下載,RPG,運費月結處理 --- 運費分攤                   A1491,
PUC050,已下載,RPG,惠康調撥處理作業                            A1858,
PUC050B,已下載,RPG,調撥處理作業                                A1491,
PUC050N,已下載,RPG,調撥處理作業                                A1491,
PUC051,已下載,RPG,惠康調撥單維護,
PUC051N,已下載,RPG,調撥單維護,
PUC051N1,已下載,RPG,調撥單維護,
PUC052,已下載,RPG,惠康調撥送貨單產生 (SCREEN CHECK),
PUC052N,已下載,RPG,調撥送貨單產生 (SCREEN CHECK),
PUC052N1,已下載,RPG,調撥送貨單產生 (SCREEN CHECK),
PUC0521,已下載,RPG,惠康調撥送貨單產生 WORK FILE  調撥送貨單彙總表,
PUC0521N,已下載,RPG,調撥送貨單產生 WORK FILE  調撥送貨單彙總表,
PUC0522,已下載,RPG,惠康調撥送貨單產生 (PRINT REPORT  ),
PUC0523,已下載,RPG,惠康調撥送貨單產生  WORK FILE  單一調撥單號,
PUC053,已下載,RPG,惠康調撥單驗收作業,
PUC053N1,已下載,RPG,存貨調撥驗收,
PUC054,已下載,RPG,惠康調撥單歷史查詢                          A1858,
PUC054N,已下載,RPG,調撥單歷史查詢                              A1858,
PUC054N1,已下載,RPG,調撥單歷史查詢                              A1858,
PUC054N2,已下載,RPG,調撥單歷史查詢                              A1858,
PUC054N3,已下載,RPG,調撥單歷史查詢                              A1858,
PUC061,已下載,RPG,惠康調撥驗收月報表 (SCREEN CHECK)           A1858,
PUC0611,已下載,RPG,惠康調撥驗收月報表 WORKFILE                 A1858,
PUC0612,已下載,RPG,惠康調撥驗收月報表 REPORT                   A1858,
PUC062,已下載,RPG,惠康前台人員排班月報表 (SCREEN CHECK)       A1858,
PUR010,已下載,RPG,驗收彙總表 (SCREEN CHECK)                   A1491,
PUR0101,已下載,RPG,驗收彙總表 (WRITE WORKFILE)                 A1491,
PUR0102,已下載,RPG,驗收彙總表 (PRINT REPORTS )                 A1491,
PUR020,已下載,RPG,驗收單明細表 (SCREEN CHECK)                 A1491,
PUR0200,已下載,RPG,驗收單明細表 (WRITE WORKFILE)               A1491,
PUR0201,已下載,RPG,驗收單明細表 (PRINT REPORTS )               A1491,
PUR030,已下載,RPG,分店驗收數量差異表 (SCREEN CHECK),
PUR0301,已下載,RPG,分店驗收數量差異表 (PRINT REPORTS 1),
PUR040,已下載,RPG,運費總表 (SCREEN CHECK)                     A1491,
PUR0401,已下載,RPG,運費總表 (WRITE WORKFILE)                   A1491,
PUR0402,已下載,RPG,運費總表 (PRINT REPORTS 1)                  A1491,
PUR050,已下載,RPG,供應商負擔運費表 (SCREEN CHECK),
PUR0501,已下載,RPG,供應商負擔運費總表 (PRINT REPORTS 1),
PUR0502,已下載,RPG,供應商負擔運費明細表 (PRINT REPORTS 2),
PUR0503,已下載,RPG,供應商負擔運費表（寫工作檔 ),
PUR060,已下載,RPG,驗收月報表 (SCREEN CHECK),
PUR0600,已下載,RPG,驗收月報表 (PREPARE 退貨 ),
PUR06001,已下載,RPG,驗收月報表 (PREPARE 退貨 ),
PUR0601,已下載,RPG,驗收月報表 (PRINT REPORTS 1),
PUR0602,已下載,RPG,運費總表 (PRINT REPORTS 1)                  A1491,
PUR061,已下載,RPG,採購單彙總表 (SCREEN CHECK),
PUR0611,已下載,RPG,採購單彙總表 (WRITE WORKFILE) - 總表,
PUR0612,已下載,RPG,採購單彙總表 (PRINT REPORT  ) - 總表,
PUR0613,已下載,RPG,採購單彙總表 (WRITE WORKFILE) - 明細表,
PUR0614,已下載,RPG,採購單彙總表 (PRINT REPORT  ) - 明細表,
PUR900,已下載,RPG,Retrive  驗收資料,
SEH0011,已下載,RPG,"銷售批次 -Upload SCWK02, Chk data, Wtr SCWK03",
SEH0012,已下載,RPG,"銷售批次－ CHK INTAPF, CLR SEHAPF,INTAPF,INTBPF",
SEH0013,已下載,RPG,"銷售批次－加入 SEHAPF, 全部重算 INTAPF/INTBPF",
SEH002,已下載,RPG,通路銷售資料確認                            A1491,
SEH0021,已下載,RPG,通路銷售資料確認                            A1491,
SER0101,已下載,RPG,通路無銷售資料異常表                        A1491,
