member,下載,text,規格書,,,
VOU0014,已下載,傳票銷售成本彙總表,,,,
VOU0021,已下載,採購傳票批次 (screen check),,,,
VOU0022,已下載,採購傳票批次 (work-file),,,,
VOU0023,已下載,傳票採購成本表,,,,
VOU0031,已下載,庫存異動傳票批次 (screen check),,,,
VOU0032,已下載,庫存異動傳票批次 (work-file),,,,
VOU0033,已下載,傳票庫存異動成本表,,,,
VOU0041,已下載,進貨退出傳票批次 (screen check),,,,
VOU0042,已下載,進貨退出傳票批次 (work-file),,,,
VOU0043,已下載,進貨退出成本表,,,,
VOU0051,已下載,陳列轉進貨傳票批次 (screen check),,,,
VOU0052,已下載,陳列轉進貨傳票批次 (work-file),,,,
VOU0053,已下載,傳票陳列轉進貨成本表,,,,
VOU0061,已下載,傳票批次作業 (screen check),,,,
VPA001,已下載,直客 (VIP) 資料維護,,,,
VPB001,已下載,直客 (VIP) 明細表上傳  ,,,,
VPB0011,已下載,直客 (VIP) 明細表上傳  ,,,,
VPB002,已下載,直客 (VIP) 銷售資料上傳  ,,,,
VPB0021,已下載,直客 (VIP) 銷售資料上傳  ,,,,
VPR001,已下載,直客 (VIP) 明細表下載  ,,,,
VPR0011,已下載,直客 (VIP) 明細表下載  ,,,,
VPR002,已下載,直客 (VIP) 銷售資料下載 Sceencheck ,,,,
VPR0021,已下載,直客 (VIP) 銷售資料下載 ( 寫 WF) ,,,,
WEB001,已下載,人員登錄審核,,,,
WEB012,已下載,調撥單調出產品檢核＆單據產生＆更新,,,,
WEB015,已下載,調撥單驗收產品檢核及更新,,,,
WEB020,已下載,訂貨單產品檢核及單據產生 / 更新 / 刪除,,,,
WEB025,已下載,每月盤點主檔及明細檔產生 / 更新 / 刪除 ,,,,
WEB026,已下載,檢核每月盤點單   ,,,,
WEB027,已下載,WEB 每月盤點單 for 新增匯出Excel  ,,,,
WEB029,已下載,驗收單驗收產品檢核及更新  ,,,,
WEB041,已下載,庫存查詢 BY 貨架  ,,,,
WEB042,已下載,庫存查詢 BY 產品   ,,,,
WEB043,已下載,庫存查詢 BY 分店   ,,,,
WEB043Y,已下載,庫存查詢 BY 分店,,,,
Z003R1,已下載,計算帳列庫存量,,,,
Z003R2,已下載,計算帳列庫存量,,,,
Z004R1,已下載,盤點更新還原 - 主程式,,,,
