member,download,type,text,規格書
JLB022C,已下載,CLP,寄賣退回傳票批次,
JLB022C1,已下載,CLP,寄賣退回傳票批次,
JLB023C,已下載,CLP,試飲退回傳票批次,
JLB023C1,已下載,CLP,試飲退回傳票批次,
JLB031C,已下載,CLP,收款沖帳傳票批次,
JLB031C1,已下載,CLP,收款沖帳傳票批次,
JLB041C,已下載,CLP,國外到貨傳票批次,
JLB041C1,已下載,CLP,國外到貨傳票批次,
JLB042C,已下載,CLP,完稅傳票批次,
JLB042C1,已下載,CLP,完稅傳票批次,
JLB043C,已下載,CLP,國內採購傳票批次,
JLB043C1,已下載,CLP,國內採購傳票批次,
JLB051C,已下載,CLP,庫存異動傳票批次,
JLB051C1,已下載,CLP,庫存異動傳票批次,
JLM000C,已下載,CLP,產生傳票系統主畫面,
KIA004C,已下載,CLP,盤點資料清除,
KIB002C,已下載,CLP,專櫃銷售年終成本庫存調整－調整,
KIB003C,已下載,CLP,專櫃銷售年終成本庫存更新－銷售,
KIB004C,已下載,CLP,專櫃盤點年終成本庫存更新－盤點,
KIB006C,已下載,CLP,專櫃採購月底成本庫存更新－採購,
KIM000C,已下載,CLP,盤點作業系統主畫面,
KIP008C,已下載,CLP,專櫃調撥處理 ( 前台 ),
KIP008C.1,已下載,CLP,專櫃調撥處理 ( 前台 ),
KIP009C,已下載,CLP,專櫃調撥處理 ( 後台 ),
KIP011C,已下載,CLP,Retrive Divice IP Address,
KIP013C,已下載,CLP,專櫃銷售年終成本庫存更新－銷售,
KIP014C,已下載,CLP,專櫃銷售年終成本庫存更新－調整,
KIR041C,已下載,CLP,盤點單列印,
KIR041C1,已下載,CLP,盤點單列印,
KIR042C,已下載,CLP,盤點清冊  ,
KIR042C1,已下載,CLP,盤點清冊  ,
KIR043C,已下載,CLP,盤盈虧表  ,
KIR043C1,已下載,CLP,盤盈虧表  ,
KIR044C,已下載,CLP,物流點盤點明細表  ,
KIR044C1,已下載,CLP,物流點盤點明細表  ,
KIR045C,已下載,CLP,盤點庫存檢查報表  ,
KIR045C1,已下載,CLP,盤點庫存檢查報表  ,
KIR046C,已下載,CLP,年終成本數量列印  ,
KIR046C1,已下載,CLP,年終成本數量列印  ,
KIR047C,已下載,CLP,年終成本標準箱數表**DELETEDELETE,
KIR047C1,已下載,CLP,年終成本標準箱數表**DELETEDELETE,
KIR048C,已下載,CLP,年終庫存物流彙總表  ,
KIR048C1,已下載,CLP,年終庫存物流彙總表  ,
KIS000C1,已下載,CLP,前台管理主畫面  ,
KIS000C2,已下載,CLP,後台管理主畫面  ,
KIS000C3,已下載,CLP,專櫃報表管理主畫面   ,
KIS004C,已下載,CLP,前台訂單處理維護   ,
KIS005C,已下載,CLP,後台訂單處理維護   ,
KIS006C,已下載,CLP,茂世產品匯總表 ( 後台)  ,
KIS006C1,已下載,CLP,茂世產品匯總表 ( 後台)-下載檔,
KIS007C,已下載,CLP,其他產品匯總表 ( 後台)  ,
KIS007C1,已下載,CLP,其他產品匯總表 ( 後台)-下載檔,
KIS007C2,已下載,CLP,其他產品匯總表 ( 後台)-下載檔,
KIS008C,已下載,CLP,訂單轉採購   ,
KIS010C,已下載,CLP,採購訂單驗收 ( 前台 )   ,
KIS011C,已下載,CLP,採購訂單查詢 ( 前台 )   ,
KIS012C,已下載,CLP,大榮送貨檔   ,
KIS012C1,已下載,CLP,大榮送貨檔 -  下載檔   ,
KIS014C,已下載,CLP,採購單批次結案   ,
KIS015C,已下載,CLP,茂世產品匯總表 ( 後台)  ,
