member,下載,type,text,規格書
IMR0832,已下載,RPG,送貨未確認明細表 (PRINT REPORTS) ,
IMR0833,已下載,RPG,送貨未確認明細表 (PRINT REPORTS) ,
IVA210,已下載,RPG,車型進貨單建立（倉庫） ,
JLBCHK1,已下載,RPG,檢核進銷存過帳 (screen check) ,
JLBCHK2,已下載,RPG,檢核進銷存過帳 ,
JLB0111,已下載,RPG,銷售傳票批次 (screen check) ,
JLB0112,已下載,RPG,銷售傳票批次 (work-file) ,
JLB0112.1,已下載,RPG,銷售傳票批次 (work-file) ,
JLB0112TT1,已下載,RPG,銷售傳票批次 (work-file),
JLB0113,已下載,RPG,傳票銷貨收入明細資料列印,
JLB0114,已下載,RPG,傳票銷貨成本彙總資料列印,
JLB0121,已下載,RPG,試飲傳票批次 (screen check),
JLB0122,已下載,RPG,試飲傳票批次 (work-file),
JLB0123,已下載,RPG,試飲傳票成本彙總列印,
JLB0131,已下載,RPG,寄賣傳票批次 (screen check),
JLB0132,已下載,RPG,寄賣傳票批次 (work-file),
JLB0133,已下載,RPG,傳票寄賣成本彙總資料列印,
JLB0141,已下載,RPG,補貨傳票批次 (screen check),
JLB0142,已下載,RPG,補貨傳票批次 (work-file),
JLB0143,已下載,RPG,補貨傳票批次,
JLB0151,已下載,RPG,人工作廢發票傳票批次 (screen check),
JLB0152,已下載,RPG,人工作廢發票傳票批次 (work-file),
JLB0153,已下載,RPG,人工作廢發票明細,
JLB0211,已下載,RPG,銷退傳票批次 (screen check),
JLB0212,已下載,RPG,銷退傳票批次 (work-file),
JLB0213,已下載,RPG,傳票銷退金額彙總資料列印,
JLB0214,已下載,RPG,傳票銷退成本彙總資料列印,
JLB0215,已下載,RPG,康齡銷退傳票批次 (work-file),
JLB0221,已下載,RPG,寄賣退回傳票批次 (screen check),
JLB0222,已下載,RPG,寄賣退回傳票批次 (work-file),
JLB0223,已下載,RPG,傳票寄賣退回成本彙總資料列印,
JLB0231,已下載,RPG,試飲退回傳票批次 (screen check),
JLB0232,已下載,RPG,試飲退回傳票批次 (work-file),
JLB0233,已下載,RPG,試飲退回傳票成本彙總列印,
JLB0311,已下載,RPG,收款沖帳傳票批次 (screen check),
JLB0312,已下載,RPG,收款沖帳傳票批次 (work-file),
JLB0313,已下載,RPG,傳票沖帳作帳明細資料列印,
JLB0411,已下載,RPG,國外到貨傳票批次 (screen check),
JLB0412,已下載,RPG,國外到貨傳票批次 (work-file),
JLB0413,已下載,RPG,國外到貨傳票批次,
JLB0421,已下載,RPG,完稅傳票批次 (screen check),
JLB0422,已下載,RPG,完稅傳票批次 (work-file),
JLB0423,已下載,RPG,完稅傳票批次,
JLB0431,已下載,RPG,國內採購傳票批次 (screen check),
JLB0432,已下載,RPG,國內採購傳票批次 (work-file),
JLB0433,已下載,RPG,傳票國內採購成本檔,
JLB0511,已下載,RPG,庫存異動傳票批次 (screen check),
JLB0512,已下載,RPG,庫存異動傳票批次 (work-file),
JLB0512J,已下載,RPG,庫存異動傳票批次 (work-file),
JLB0513,已下載,RPG,傳票庫存異動成本資料列印,
